In total 138 problem detected.
ID.       Name    rl = ru  rl = -inf  ru = +inf     lb = 0  lb = -inf  ub = +inf
 71    PRIMAL3         NO        Yes         NO         No         NO        YES
 72    PRIMAL4         NO        Yes         NO         No         NO        YES
 73   PRIMALC1         NO        Yes         NO         No         NO        YES
 74   PRIMALC2         NO        Yes         NO         No         NO        YES
 75   PRIMALC5         NO        Yes         NO         No         NO        YES
 76   PRIMALC8         NO        Yes         NO         No         NO        YES
 77    Q25FV47         NO         NO         NO        Yes         NO        YES
 78   QADLITTL         NO         NO         NO        Yes         NO        YES
 79     QAFIRO         NO         NO         NO        Yes         NO        YES
 80     QBANDM        Yes         NO         NO        Yes         NO        YES
 81   QBEACONF         NO         NO         NO        Yes         NO        YES
 82    QBORE3D         NO         NO         NO         No         NO         NO
 83    QBRANDY         NO         NO         NO        Yes         NO        YES
 84     QCAPRI         NO         NO         NO         No         NO         NO
 85      QE226         NO         NO         NO        Yes         NO        YES
 86   QETAMACR         NO         NO         NO         No         NO         NO
 87   QFFFFF80         NO         NO         NO        Yes         NO        YES
 88   QFORPLAN         NO         NO         NO         No         NO         NO
 89   QGFRDXPN         NO         NO         NO         No         NO         NO
 90    QGROW15        Yes         NO         NO        Yes         NO         NO
 91    QGROW22        Yes         NO         NO        Yes         NO         NO
 92     QGROW7        Yes         NO         NO        Yes         NO         NO
 93    QISRAEL         NO        Yes         NO        Yes         NO        YES
 94   QPCBLEND         NO         NO         NO        Yes         NO        YES
 95   QPCBOEI1         NO         NO         NO         No         NO         NO
 96   QPCBOEI2         NO         NO         NO         No         NO         NO
 97   QPCSTAIR         NO         NO         NO         No         NO         NO
 98   QPILOTNO         NO         NO         NO         No         NO         NO
 99     QPTEST         NO         NO         NO        Yes         NO         NO
100    QRECIPE         NO         NO         NO         No         NO         NO
101     QSC205         NO         NO         NO        Yes         NO        YES
102   QSCAGR25         NO         NO         NO        Yes         NO        YES
103    QSCAGR7         NO         NO         NO        Yes         NO        YES
104    QSCFXM1         NO         NO         NO        Yes         NO        YES
105    QSCFXM2         NO         NO         NO        Yes         NO        YES
106    QSCFXM3         NO         NO         NO        Yes         NO        YES
107   QSCORPIO         NO         NO         NO        Yes         NO        YES
108     QSCRS8         NO         NO         NO        Yes         NO        YES
109     QSCSD1        Yes         NO         NO        Yes         NO        YES
110     QSCSD6        Yes         NO         NO        Yes         NO        YES
111     QSCSD8        Yes         NO         NO        Yes         NO        YES
112    QSCTAP1         NO         NO         NO        Yes         NO        YES
113    QSCTAP2         NO         NO         NO        Yes         NO        YES
114    QSCTAP3         NO         NO         NO        Yes         NO        YES
115      QSEBA         NO         NO         NO         No         NO         NO
116   QSHARE1B         NO         NO         NO        Yes         NO        YES
117   QSHARE2B         NO         NO         NO        Yes         NO        YES
118     QSHELL         NO         NO         NO         No         NO         NO
119   QSHIP04L         NO         NO         NO        Yes         NO        YES
120   QSHIP04S         NO         NO         NO        Yes         NO        YES
121   QSHIP08L         NO         NO         NO        Yes         NO        YES
122   QSHIP08S         NO         NO         NO        Yes         NO        YES
123   QSHIP12L         NO         NO         NO        Yes         NO        YES
124   QSHIP12S         NO         NO         NO        Yes         NO        YES
125    QSIERRA         NO         NO         NO        Yes         NO         NO
126     QSTAIR         NO         NO         NO         No         NO         NO
127   QSTANDAT         NO         NO         NO         No         NO         NO
128       S268         NO         NO        YES         No        Yes        YES
129    STADAT1         NO         NO         NO         No        Yes        YES
130    STADAT2         NO         NO         NO         No        Yes        YES
131    STADAT3         NO         NO         NO         No        Yes        YES
132     STCQP1        Yes         NO         NO         No         NO         NO
133     STCQP2        Yes         NO         NO         No         NO         NO
134       TAME        Yes         NO         NO        Yes         NO        YES
135       UBH1        Yes         NO         NO         No         NO         NO
136     VALUES        Yes         NO         NO        Yes         NO         NO
137        YAO         NO         NO        YES         No         NO         NO
138   ZECEVIC2         NO        Yes         NO        Yes         NO         NO
